Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
55	14.75	1.0897248	16.0	13.0	83.25	48.65889	144.0	18.0	15.7	2.531798	20.0	12.0	65.6	45.95911	128.0	0.0	1000.0	1000.0	219999	12.717337	5.007123	34.43338	-9.898463	12.717405	5.006886	34.179745	-9.950434	-12.779853	0.4761009	3183.743988752365
56	15.0	2.1213202	18.0	12.0	30.0	32.06244	76.0	0.0	14.9	2.2113345	19.0	11.0	65.4	57.824215	189.0	0.0	1000.0	1000.0	223999	12.720775	4.9940004	34.68563	-10.711519	12.720903	4.9935155	32.97223	-10.489889	-12.770787	0.47676036	3242.084566116333
57	13.5	0.5	14.0	13.0	103.0	70.63993	209.0	11.0	16.0	1.7888544	19.0	14.0	49.6	31.055435	100.0	0.0	1000.0	1000.0	227999	12.725163	5.0037746	33.83845	-11.928867	12.725325	5.0030565	33.08825	-12.024406	-12.77981	0.46816584	3299.750007390976
58	17.75	1.0897248	19.0	16.0	40.0	25.670996	77.0	9.0	16.0	1.4142135	19.0	14.0	50.4	38.979996	120.0	0.0	1000.0	1000.0	231999	12.718151	5.0067077	33.06899	-13.291618	12.71815	5.0062027	33.755245	-13.088964	-12.767795	0.4801719	3357.199280023575
59	17.25	1.0897248	19.0	16.0	66.75	39.877155	113.0	17.0	16.1	1.4456832	18.0	13.0	51.0	41.22863	141.0	0.0	1000.0	1000.0	235999	12.705655	5.0209074	33.867832	-13.945689	12.705767	5.020292	31.717216	-14.302769	-12.762067	0.48549247	3415.8465898036957
60	14.5	3.2015622	20.0	12.0	81.75	82.505684	220.0	7.0	15.4	1.9078784	19.0	13.0	67.8	40.896942	134.0	0.0	1000.0	1000.0	239999	12.683698	5.0316358	31.664349	-14.761459	12.683698	5.030998	34.57896	-14.567488	-12.726872	0.48364833	3474.249345302582
61	15.25	0.4330127	16.0	15.0	78.75	58.85735	175.0	15.0	15.0	1.3416407	17.0	13.0	99.4	46.03086	171.0	31.0	1000.0	1000.0	243999	12.682137	5.026543	31.171518	-14.3704195	12.682113	5.0266004	31.303043	-14.401447	-12.742424	0.4875848	3532.729479789734
62	15.75	1.47902	18.0	14.0	25.5	21.383406	53.0	0.0	14.8	1.989975	19.0	12.0	62.4	50.6245	142.0	0.0	1000.0	1000.0	247999	12.685182	5.007236	33.36626	-14.696097	12.685074	5.007588	31.882324	-14.702112	-12.738393	0.48795947	3590.3361587524414
63	15.5	1.6583124	17.0	13.0	46.5	30.45078	98.0	19.0	13.9	1.6401219	18.0	12.0	52.0	38.37447	114.0	6.0	1000.0	1000.0	251999	12.644543	4.990288	30.70887	-14.216028	12.64452	4.9901695	30.999062	-14.391866	-12.69788	0.49109522	3648.160313129425
64	15.0	1.4142135	17.0	13.0	79.25	60.01406	152.0	0.0	15.3	2.3685439	19.0	11.0	71.7	55.548267	167.0	0.0	1000.0	1000.0	255999	12.608018	4.9578967	32.488453	-13.501434	12.60808	4.9572883	34.432087	-13.966191	-12.657074	0.4988299	3706.0742547512054
